"gene_id","feature_id","lr","df","pvalue","adj_pvalue"
"FBgn0032688","FBtr0081070",0.931251560111377,1,0.334537919013783,0.892321934478348
"FBgn0032688","FBtr0343826",0.931251560111377,1,0.334537919013783,0.892321934478348
"FBgn0032689","FBtr0081080",0.157323005245416,1,0.691633215625003,1
"FBgn0032689","FBtr0343829",0.157323005241778,1,0.691633215628386,1
"FBgn0032681","FBtr0081085",0.534475013546398,1,0.464731523156331,0.957204628381343
"FBgn0032681","FBtr0300675",0.534475013545489,1,0.464731523156711,0.957204628381343
"FBgn0261597","FBtr0081089",0.0546315154060721,1,0.815191602425868,1
"FBgn0261597","FBtr0081090",0.0546315149404109,1,0.815191603199252,1
"FBgn0086909","FBtr0081092",0.315245804921688,1,0.574478848678498,0.992308396614136
"FBgn0086909","FBtr0081093",0.315245804923507,1,0.574478848677394,0.992308396614136
"FBgn0032698","FBtr0081095",3.70525716789234,1,0.0542413122484448,0.452363711246743
"FBgn0032698","FBtr0273194",3.70525716789416,1,0.0542413122483857,0.452363711246743
"FBgn0032713","FBtr0081104",0.0666996939617093,1,0.796204063862932,1
"FBgn0032713","FBtr0308575",0.116434754496368,1,0.732933924172826,1
"FBgn0032713","FBtr0343833",0.0123709113058794,1,0.911438245889497,1
"FBgn0032715","FBtr0081121",0.0969534641644714,1,0.755516687865995,1
"FBgn0032715","FBtr0344795",0.0969534641644714,1,0.755516687865995,1
"FBgn0040992","FBtr0081122",0.0578290373105119,1,0.8099607336378,1
"FBgn0040992","FBtr0343834",0.0578290373105119,1,0.8099607336378,1
"FBgn0025608","FBtr0081126",0.635223071585642,1,0.425445904395207,0.945334056191989
"FBgn0025608","FBtr0343115",0.635223071582004,1,0.425445904396533,0.945334056191989
"FBgn0086442","FBtr0081142",1.30460336543183,1,0.253374074930303,0.836525149744352
"FBgn0086442","FBtr0336840",1.30460336543001,1,0.253374074930634,0.836525149744352
"FBgn0263198","FBtr0081145",3.65181995227613,1,0.0560079785976734,0.459464418998874
"FBgn0263198","FBtr0336842",3.65181995227613,1,0.0560079785976734,0.459464418998874
"FBgn0010300","FBtr0081159",0.241463714599377,1,0.623150936055242,1
"FBgn0010300","FBtr0081160",0.241463714613928,1,0.623150936044771,1
"FBgn0032731","FBtr0081185",4.66130517644342,1,0.0308497325617442,0.343994948350642
"FBgn0032731","FBtr0340322",4.66130517643978,1,0.0308497325618096,0.343994948350642
"FBgn0015772","FBtr0081189",0.281457041108297,1,0.595747806906227,0.998348215853057
"FBgn0015772","FBtr0340325",0.988814203388756,1,0.320032366330865,0.884271889672584
"FBgn0015772","FBtr0340326",0.768887101425207,1,0.380561556725922,0.926567953947339
"FBgn0032727","FBtr0081190",3.59402212687746,1,0.0579877348880302,0.470895892398706
"FBgn0032727","FBtr0344845",3.59402212687746,1,0.0579877348880302,0.470895892398706
"FBgn0032725","FBtr0081192",1.61329145988566,1,0.204029740813887,0.798870765865291
"FBgn0032725","FBtr0342928",1.61329145988566,1,0.204029740813887,0.798870765865291
"FBgn0032723","FBtr0081193",2.45567298887454,1,0.117100970106213,0.66655319637841
"FBgn0032723","FBtr0342929",2.45567298887454,1,0.117100970106213,0.66655319637841
"FBgn0010309","FBtr0081194",1.44125147785917,1,0.229936931464413,0.822861441771421
